teams	1
265	265	3	换手机屏一块两块两块一块(q:how much is the screen)	Xi'an University of Posts and Telecommunications	XUPT	CHN
203	203	3	心如花木向阳而生(Face to the sun)	Shandong University of Technology		CHN
87	087	3	拿铁咖啡(lattle)	Guizhou University	GZU	CHN
234	234	3	thnu(thnu restart)	Tong Hua Normal University	THNU	CHN
262	262	3	show me your WECHAT girl(reboot)	Xi'an Eurasia University	Euraisa	CHN
18	018	3	六百六十六(six six six)	Beijing Jiaotong University	Beijing Jiaotong U	CHN
212	212	3	心动网络-潜心队(X.D.Network-Concentration)	Shanghai University	SHU	CHN
25	025	3	皮卡丘的皮在痒(Pikachu is tricking)	Beijing Forestry University	BJFU	CHN
19	019	3	思无邪(Polaris)	University of Science and Technology Beijing		CHN
28	028	3	凉皮泡馍biangbiang面(Famous food of XiAn)	Beijing Information Science and Technology University	BISTU	CHN
54	054	3	测试账号(NEU_Test)	Northeastern University (China)	NEU	CHN
282	282	3	三只小猪哼哼哈嘿(floccinaucinihilipilification)	SouthWest Minzu University		CHN
124	124	3	黑水舰队(blackwater team)	East China University of Science and Technology	ECUST	CHN
122	122	3	难受啊，小老弟(konnyaku has a little dream)	North China Electric Power University	NCEPU	CHN
270	270	3	若风一指(NPU_Lion's_F_of_RuoFeng)	Northwestern Polytechnical University	NWPU	CHN
89	089	3	树上的鸟儿成三(There are three birds in the tree)	Guizhou University of Engineering Science	GUES	CHN
38	038	3	数独(+-*/%^)	Chengdu University of Technology	CDUT	CHN
121	121	7	HNUCM-Girls(HNUCM-Girls)	Hunan University of Chinese Medicine	HUCM	CHN
